"","index","origin","ori_latitude","ori_longitude","destination","desti_latitude","desti_longitude","arr_delay","dep_delay","total_routes","route"
"57",56,"ATL",33.6366996765137,-84.4281005859375,"EWR",40.6925010681152,-74.168701171875,7.64244186046512,17.843023255814,344,"ATL-EWR"
"58",57,"ATL",33.6366996765137,-84.4281005859375,"EYW",24.5561008453369,-81.7595977783203,8.61458333333333,13.3229166666667,96,"ATL-EYW"
"59",58,"ATL",33.6366996765137,-84.4281005859375,"FAY",34.9911994934082,-78.8803024291992,4.46153846153846,7.67307692307692,52,"ATL-FAY"
"60",59,"ATL",33.6366996765137,-84.4281005859375,"FCA",48.3105010986328,-114.255996704102,-8.77777777777778,-0.555555555555556,9,"ATL-FCA"
"61",60,"ATL",33.6366996765137,-84.4281005859375,"FLL",26.0725994110107,-80.152702331543,NA,9.7787610619469,452,"ATL-FLL"
"62",61,"ATL",33.6366996765137,-84.4281005859375,"FNT",42.9654006958008,-83.7435989379883,9.81818181818182,14.1363636363636,88,"ATL-FNT"
"63",62,"ATL",33.6366996765137,-84.4281005859375,"FSD",43.5820007324,-96.741897583,4.93548387096774,14,31,"ATL-FSD"
"64",63,"ATL",33.6366996765137,-84.4281005859375,"GPT",30.4073009490967,-89.0700988769531,-0.951219512195122,4.79268292682927,82,"ATL-GPT"
"65",64,"ATL",33.6366996765137,-84.4281005859375,"GRR",42.88079834,-85.52279663,2.9344262295082,6.85245901639344,122,"ATL-GRR"
"66",65,"ATL",33.6366996765137,-84.4281005859375,"GSO",36.0978012084961,-79.9373016357422,NA,9.70547945205479,146,"ATL-GSO"
"67",66,"ATL",33.6366996765137,-84.4281005859375,"GSP",34.8956985474,-82.2189025879,4.08,9.74857142857143,175,"ATL-GSP"
"68",67,"ATL",33.6366996765137,-84.4281005859375,"HNL",21.3187007904053,-157.921997070312,15.8709677419355,21.5483870967742,31,"ATL-HNL"
"69",68,"ATL",33.6366996765137,-84.4281005859375,"HOU",29.64539909,-95.27890015,-6.06976744186047,9.16279069767442,86,"ATL-HOU"
"70",69,"ATL",33.6366996765137,-84.4281005859375,"HSV",34.637199401855,-86.775100708008,NA,11.6363636363636,165,"ATL-HSV"
"71",70,"ATL",33.6366996765137,-84.4281005859375,"IAD",38.94449997,-77.45580292,-0.846534653465347,6.85643564356436,202,"ATL-IAD"
"72",71,"ATL",33.6366996765137,-84.4281005859375,"IAH",29.9843997955322,-95.3414001464844,NA,NA,236,"ATL-IAH"
"73",72,"ATL",33.6366996765137,-84.4281005859375,"ICT",37.6498985290527,-97.4330978393555,-0.365591397849462,7.81720430107527,93,"ATL-ICT"
"74",73,"ATL",33.6366996765137,-84.4281005859375,"ILM",34.2705993652344,-77.9026031494141,16.7096774193548,22.9354838709677,31,"ATL-ILM"
"75",74,"ATL",33.6366996765137,-84.4281005859375,"IND",39.7173,-86.294403,NA,8.01865671641791,268,"ATL-IND"
"76",75,"ATL",33.6366996765137,-84.4281005859375,"JAC",43.6072998046875,-110.737998962402,-12,0.5,12,"ATL-JAC"
"77",76,"ATL",33.6366996765137,-84.4281005859375,"JAN",32.3111991882,-90.0758972168,-1.61304347826087,8.17391304347826,230,"ATL-JAN"
"78",77,"ATL",33.6366996765137,-84.4281005859375,"JAX",30.4941005706787,-81.6878967285156,9.09139784946237,11.6424731182796,372,"ATL-JAX"
"79",78,"ATL",33.6366996765137,-84.4281005859375,"JFK",40.63980103,-73.77890015,10.4032258064516,18.0967741935484,186,"ATL-JFK"
"80",79,"ATL",33.6366996765137,-84.4281005859375,"LAS",36.08010101,-115.1520004,-1.34701492537313,8.79850746268657,268,"ATL-LAS"
"81",80,"ATL",33.6366996765137,-84.4281005859375,"LAX",33.94250107,-118.4079971,NA,NA,453,"ATL-LAX"
"82",81,"ATL",33.6366996765137,-84.4281005859375,"LEX",38.0364990234375,-84.6059036254883,0.273809523809524,3.69047619047619,84,"ATL-LEX"
"83",82,"ATL",33.6366996765137,-84.4281005859375,"LFT",30.20529938,-91.98760223,1.67741935483871,6.87096774193548,31,"ATL-LFT"
"84",83,"ATL",33.6366996765137,-84.4281005859375,"LGA",40.77719879,-73.87259674,NA,NA,497,"ATL-LGA"
"85",84,"ATL",33.6366996765137,-84.4281005859375,"LIT",34.7294006348,-92.2242965698,-5.45145631067961,4.29126213592233,206,"ATL-LIT"
"86",85,"ATL",33.6366996765137,-84.4281005859375,"MCI",39.2976,-94.713898,NA,NA,242,"ATL-MCI"
"87",86,"ATL",33.6366996765137,-84.4281005859375,"MCO",28.4293994903564,-81.3089981079102,NA,7.70204081632653,490,"ATL-MCO"
"88",87,"ATL",33.6366996765137,-84.4281005859375,"MDT",40.1935005188,-76.7633972168,-1.94318181818182,7.20454545454545,88,"ATL-MDT"
"89",88,"ATL",33.6366996765137,-84.4281005859375,"MDW",41.7859992980957,-87.7524032592773,-3.82758620689655,5.08189655172414,232,"ATL-MDW"
"90",89,"ATL",33.6366996765137,-84.4281005859375,"MEM",35.0424003601074,-89.9766998291016,1.98299319727891,9.45238095238095,294,"ATL-MEM"
"91",90,"ATL",33.6366996765137,-84.4281005859375,"MHT",42.9325981140137,-71.4356994628906,12.1290322580645,21.5483870967742,31,"ATL-MHT"
"92",91,"ATL",33.6366996765137,-84.4281005859375,"MIA",25.7931995391846,-80.2906036376953,NA,8.46201232032854,487,"ATL-MIA"
"93",92,"ATL",33.6366996765137,-84.4281005859375,"MKE",42.9472007751465,-87.896598815918,-1.23809523809524,5.1,210,"ATL-MKE"
"94",93,"ATL",33.6366996765137,-84.4281005859375,"MLB",28.1028003692627,-80.6453018188477,1.95833333333333,7.03333333333333,120,"ATL-MLB"
"95",94,"ATL",33.6366996765137,-84.4281005859375,"MOB",30.691200256348,-88.242797851562,7.20689655172414,13.1379310344828,58,"ATL-MOB"
"96",95,"ATL",33.6366996765137,-84.4281005859375,"MSN",43.1399002075195,-89.3375015258789,2.10344827586207,10.0862068965517,58,"ATL-MSN"
"97",96,"ATL",33.6366996765137,-84.4281005859375,"MSO",46.91630173,-114.0910034,-7.25,9,4,"ATL-MSO"
"98",97,"ATL",33.6366996765137,-84.4281005859375,"MSP",44.8819999695,-93.2218017578,4.24550898203593,8.91616766467066,334,"ATL-MSP"
"99",98,"ATL",33.6366996765137,-84.4281005859375,"MSY",29.9934005737305,-90.2580032348633,NA,7.20987654320988,405,"ATL-MSY"
"100",99,"ATL",33.6366996765137,-84.4281005859375,"MYR",33.6796989441,-78.9282989502,3.0650406504065,10.4634146341463,123,"ATL-MYR"
"101",100,"ATL",33.6366996765137,-84.4281005859375,"OKC",35.3931007385254,-97.600700378418,-0.924657534246575,5.69178082191781,146,"ATL-OKC"
"102",101,"ATL",33.6366996765137,-84.4281005859375,"OMA",41.3031997680664,-95.8940963745117,-1.04201680672269,8.03361344537815,119,"ATL-OMA"
"103",102,"ATL",33.6366996765137,-84.4281005859375,"ORD",41.97859955,-87.90480042,NA,NA,381,"ATL-ORD"
"104",103,"ATL",33.6366996765137,-84.4281005859375,"ORF",36.8945999145508,-76.2012023925781,6.96309963099631,12.4907749077491,271,"ATL-ORF"
"105",104,"ATL",33.6366996765137,-84.4281005859375,"PBI",26.6832008361816,-80.0955963134766,NA,8.89189189189189,333,"ATL-PBI"
"106",105,"ATL",33.6366996765137,-84.4281005859375,"PDX",45.58869934,-122.5979996,-2.66666666666667,11.0972222222222,144,"ATL-PDX"
"107",106,"ATL",33.6366996765137,-84.4281005859375,"PHL",39.871898651123,-75.241096496582,4.87649402390438,8.68725099601594,502,"ATL-PHL"
"108",107,"ATL",33.6366996765137,-84.4281005859375,"PHX",33.4342994689941,-112.012001037598,0.0668896321070234,7.5752508361204,299,"ATL-PHX"
"109",108,"ATL",33.6366996765137,-84.4281005859375,"PIT",40.49150085,-80.23290253,NA,NA,255,"ATL-PIT"
"110",109,"ATL",33.6366996765137,-84.4281005859375,"PNS",30.473400115967,-87.186599731445,1.13122171945701,7.09954751131222,221,"ATL-PNS"
"111",110,"ATL",33.6366996765137,-84.4281005859375,"PVD",41.7326011657715,-71.4204025268555,NA,9.32967032967033,91,"ATL-PVD"
"112",111,"ATL",33.6366996765137,-84.4281005859375,"PWM",43.64619827,-70.30930328,0.494505494505495,10.956043956044,91,"ATL-PWM"
"113",112,"ATL",33.6366996765137,-84.4281005859375,"RDU",35.8776016235352,-78.7874984741211,NA,8.72334293948127,347,"ATL-RDU"
"114",113,"ATL",33.6366996765137,-84.4281005859375,"RIC",37.505199432373,-77.3197021484375,NA,8.75849056603774,265,"ATL-RIC"
"115",114,"ATL",33.6366996765137,-84.4281005859375,"ROA",37.3255004883,-79.975402832,1.25531914893617,13.2765957446809,47,"ATL-ROA"
"116",115,"ATL",33.6366996765137,-84.4281005859375,"ROC",43.1189002990723,-77.6724014282227,-1.10869565217391,8.06521739130435,92,"ATL-ROC"
"117",116,"ATL",33.6366996765137,-84.4281005859375,"RSW",26.5361995697021,-81.7552032470703,6.44776119402985,10.8955223880597,268,"ATL-RSW"
"118",117,"ATL",33.6366996765137,-84.4281005859375,"SAN",32.7336006165,-117.190002441,NA,5.8956043956044,182,"ATL-SAN"
"119",118,"ATL",33.6366996765137,-84.4281005859375,"SAT",29.5337009429932,-98.4698028564453,NA,6.31428571428571,210,"ATL-SAT"
"120",119,"ATL",33.6366996765137,-84.4281005859375,"SAV",32.12760162,-81.20210266,7.753125,11.271875,320,"ATL-SAV"
"121",120,"ATL",33.6366996765137,-84.4281005859375,"SDF",38.1744,-85.736,NA,9.69615384615385,260,"ATL-SDF"
"122",121,"ATL",33.6366996765137,-84.4281005859375,"SEA",47.4490013122559,-122.30899810791,-3.88235294117647,8.01470588235294,272,"ATL-SEA"
"123",122,"ATL",33.6366996765137,-84.4281005859375,"SFO",37.6189994812012,-122.375,-3.68936170212766,11.1404255319149,235,"ATL-SFO"
"124",123,"ATL",33.6366996765137,-84.4281005859375,"SGF",37.24570084,-93.38860321,5.87096774193548,14.7741935483871,31,"ATL-SGF"
"125",124,"ATL",33.6366996765137,-84.4281005859375,"SHV",32.4466018676758,-93.8255996704102,3.23076923076923,9.19230769230769,26,"ATL-SHV"
"126",125,"ATL",33.6366996765137,-84.4281005859375,"SJC",37.3625984191895,-121.929000854492,2.37037037037037,13.4814814814815,27,"ATL-SJC"
"127",126,"ATL",33.6366996765137,-84.4281005859375,"SJU",18.4393997192,-66.0018005371,-1.0650406504065,5.83739837398374,123,"ATL-SJU"
